file,line,text
"src\App.jsx",22,"Checking session…"
"src\App.jsx",33,"/randomizer"
"src\App.jsx",34,"/build-editor"
"src\App.jsx",34,"draft"
"src\App.jsx",35,"/build-editor/b/:encoded"
"src\App.jsx",35,"owned"
"src\App.jsx",36,"/build-editor/share/:encoded"
"src\App.jsx",36,"share"
"src\App.jsx",37,"/s/:encoded"
"src\App.jsx",37,"share"
"src\App.jsx",38,"/library-explorer"
"src\App.jsx",39,"/library-roulette"
"src\App.jsx",40,"/catalog"
"src\App.jsx",41,"/catalog/skill-text/:textQuery"
"src\App.jsx",42,"/catalog/:key"
"src\App.jsx",43,"/catalog/type/:slot/:weaponType"
"src\App.jsx",44,"/catalog/category/:groupId"
"src\App.jsx",45,"/catalog/tree/:treeId"
"src\App.jsx",46,"/compare-builds"
"src\App.jsx",47,"/auth"
"src\auth\AuthScreen.jsx",9,"../../firebaseAuth"
"src\auth\AuthScreen.jsx",15,"login"
"src\auth\AuthScreen.jsx",33,"pd3_post_auth_redirect"
"src\auth\AuthScreen.jsx",36,"pd3_post_auth_redirect"
"src\auth\AuthScreen.jsx",118,"login"
"src\auth\AuthScreen.jsx",124,"email"
"src\auth\AuthScreen.jsx",134,"text"
"src\auth\AuthScreen.jsx",134,"password"
"src\auth\AuthScreen.jsx",142,"button"
"src\auth\AuthScreen.jsx",161,"button"
"src\auth\AuthScreen.jsx",165,"register"
"src\auth\AuthScreen.jsx",172,"button"
"src\auth\AuthScreen.jsx",176,"recovery"
"src\auth\AuthScreen.jsx",185,"register"
"src\auth\AuthScreen.jsx",191,"text"
"src\auth\AuthScreen.jsx",200,"email"
"src\auth\AuthScreen.jsx",210,"text"
"src\auth\AuthScreen.jsx",210,"password"
"src\auth\AuthScreen.jsx",218,"button"
"src\auth\AuthScreen.jsx",229,"text"
"src\auth\AuthScreen.jsx",229,"password"
"src\auth\AuthScreen.jsx",237,"button"
"src\auth\AuthScreen.jsx",255,"button"
"src\auth\AuthScreen.jsx",259,"login"
"src\auth\AuthScreen.jsx",268,"recovery"
"src\auth\AuthScreen.jsx",274,"email"
"src\auth\AuthScreen.jsx",291,"button"
"src\auth\AuthScreen.jsx",295,"login"
"src\auth\useAuth.js",8,"useAuth must be used inside <AuthProvider>"
"src\build\build.buildUrl.utils.js",4,"lz-string"
"src\build\build.constants.js",5,"pd3_build_v1"
"src\build\build.constants.js",7,"pd3_build_library_v1"
"src\build\build.validators.js",17,"SKILL_POINTS_EXCEEDED"
"src\build\build.validators.js",18,"Skill points excedidos: ${points}/${MAX_SKILL_POINTS}"
"src\build\build.validators.js",25,"SKILL_ACED_WITHOUT_BASE"
"src\build\build.validators.js",26,"Skill ${skillKey}: aced requiere base"
"src\build\BuildContext.jsx",16,"useBuild must be used inside <BuildProvider />"
"src\build\BuildEditor.jsx",71,"share"
"src\build\BuildEditor.jsx",108,"share"
"src\build\BuildEditor.jsx",112,"/build-editor/b/${nextEncoded}"
"src\build\BuildEditor.jsx",175,"/build-editor/b/${nextEncoded}"
"src\build\BuildEditor.jsx",179,"success"
"src\build\BuildEditor.jsx",185,"error"
"src\build\BuildEditor.jsx",225,"success"
"src\build\BuildEditor.jsx",231,"error"
"src\build\BuildEditor.jsx",254,"success"
"src\build\BuildEditor.jsx",261,"error"
"src\build\BuildEditor.jsx",280,"/build-editor"
"src\build\BuildEditor.jsx",288,"${window.location.origin}/build-editor/share/${encoded}"
"src\build\BuildEditor.jsx",289,"${window.location.origin}/s/${encoded}"
"src\build\BuildEditor.jsx",314,"success"
"src\build\BuildEditor.jsx",320,"error"
"src\build\BuildEditor.jsx",341,"share"
"src\build\BuildEditor.jsx",363,"/library-explorer${fromExplorerSearch}"
"src\build\BuildEditor.jsx",383,"flex"
"src\build\BuildEditor.jsx",384,"center"
"src\build\BuildEditor.jsx",385,"8px"
"src\build\BuildEditor.jsx",389,"wait"
